S.NO,file_name,#user_utterance,#system_utterance,time_elapsed
1,data/chat_sessions/data_Apr_04_2024__09_39_21_AM.txt,4,4,9
2,data/chat_sessions/data_Apr_04_2024__11_41_04_AM.txt,2,2,14
3,data/chat_sessions/data_Apr_04_2024__03_45_13_PM.txt,12,12,93
4,data/chat_sessions/data_Apr_04_2024__03_56_41_PM.txt,1,1,113
5,data/chat_sessions/data_Apr_04_2024__03_59_07_PM.txt,17,17,10
6,data/chat_sessions/data_Apr_04_2024__04_11_22_PM.txt,4,4,5
7,data/chat_sessions/data_Apr_04_2024__05_44_30_PM.txt,17,17,8
